,ID,Order Date,Class,Region,Sub-Category,Sales
30,6819,2018-12-28,Стандарт,Урал,Binders,12404.17
31,6820,2018-12-28,Стандарт,Урал,Furnishings,32809.06
32,6821,2018-12-28,Стандарт,Урал,Chairs,6393.672
33,6822,2018-12-28,Стандарт,Урал,Furnishings,27856.56
34,7485,2018-12-28,Стандарт,Урал,Art,42642.82
35,7486,2018-12-28,Стандарт,Урал,Binders,29781.19
36,8098,2018-12-28,Стандарт,Калиниград,Storage,24564.43
37,8099,2018-12-28,Стандарт,Калиниград,Paper,42589.07
38,2570,2018-12-27,Same Day,Владивосток,Phones,6183.071
39,2571,2018-12-27,Same Day,Владивосток,Art,22499.9
40,1009,2018-12-26,Стандарт,Урал,Paper,26704.8
41,3786,2018-12-26,Стандарт,Владивосток,Binders,13789.87
42,5475,2018-12-26,Same Day,Урал,Storage,1791.681
43,8159,2018-12-26,Стандарт,Урал,Paper,40922.98
44,111,2018-12-25,Стандарт,Владивосток,Furnishings,18847.1
45,689,2018-12-25,Стандарт,Владивосток,Bookcases,2069.347
46,2003,2018-12-25,Второй класс,Москва,Storage,5419.755
47,2004,2018-12-25,Второй класс,Москва,Chairs,1145.783
48,2424,2018-12-25,Стандарт,Владивосток,Accessories,44654.52
49,2425,2018-12-25,Стандарт,Владивосток,Binders,23676.68
50,2426,2018-12-25,Стандарт,Владивосток,Tables,20138.65
51,2427,2018-12-25,Стандарт,Владивосток,Fasteners,35796.4
52,4922,2018-12-25,Второй класс,Москва,Paper,43299.08
53,4923,2018-12-25,Второй класс,Москва,Fasteners,15305.6
54,4924,2018-12-25,Второй класс,Москва,Paper,30747.34
55,4925,2018-12-25,Второй класс,Москва,Phones,1444.928
56,6075,2018-12-25,Стандарт,Калиниград,Binders,26275.9
57,6076,2018-12-25,Стандарт,Калиниград,Storage,9363.125
58,6807,2018-12-25,Стандарт,Калиниград,Binders,21737.3
59,7943,2018-12-25,Стандарт,Урал,Binders,4088.437
60,7944,2018-12-25,Стандарт,Урал,Supplies,12752.65
61,7945,2018-12-25,Стандарт,Урал,Art,41033.05
62,7946,2018-12-25,Стандарт,Урал,Binders,19329.83
63,7947,2018-12-25,Стандарт,Урал,Binders,4152.853
64,8957,2018-12-25,Первый класс,Москва,Furnishings,20876.48
65,8958,2018-12-25,Первый класс,Москва,Machines,8914.873
66,9377,2018-12-25,Стандарт,Владивосток,Accessories,19291.61
67,405,2018-12-24,Стандарт,Владивосток,Appliances,4951.841
68,1507,2018-12-24,Стандарт,Владивосток,Binders,38665.2
69,2482,2018-12-24,Стандарт,Калиниград,Storage,4725.787
70,3315,2018-12-24,Стандарт,Владивосток,Chairs,25565.33
71,3316,2018-12-24,Стандарт,Владивосток,Binders,31775.02
72,3701,2018-12-24,Стандарт,Владивосток,Furnishings,38527.34
73,4030,2018-12-24,Стандарт,Москва,Machines,35720.07
74,4031,2018-12-24,Стандарт,Москва,Chairs,12551.66
75,4620,2018-12-24,Первый класс,Калиниград,Copiers,25731.7
76,4621,2018-12-24,Первый класс,Калиниград,Binders,35950.49
77,5148,2018-12-24,Стандарт,Калиниград,Furnishings,19512.21
78,5149,2018-12-24,Стандарт,Калиниград,Chairs,29647.97
79,7608,2018-12-24,Первый класс,Урал,Storage,44722.59
80,8856,2018-12-24,Стандарт,Калиниград,Binders,2662.503
81,8947,2018-12-24,Стандарт,Владивосток,Paper,8680.539
82,8948,2018-12-24,Стандарт,Владивосток,Binders,11603.29
83,883,2018-12-23,Same Day,Калиниград,Art,1813.51
84,2295,2018-12-23,Стандарт,Владивосток,Furnishings,26416.5
85,3545,2018-12-23,Второй класс,Урал,Paper,32646.17
86,3546,2018-12-23,Второй класс,Урал,Appliances,5808.618
87,6223,2018-12-23,Стандарт,Москва,Furnishings,20825.15
88,6224,2018-12-23,Стандарт,Москва,Art,28897.8
89,6225,2018-12-23,Стандарт,Москва,Storage,5887.66
90,6853,2018-12-23,Второй класс,Москва,Storage,43833.06
91,6854,2018-12-23,Второй класс,Москва,Phones,40986.62
92,6855,2018-12-23,Второй класс,Москва,Storage,16664.06
93,6856,2018-12-23,Второй класс,Москва,Paper,12999.44
94,6857,2018-12-23,Второй класс,Москва,Envelopes,25229.16
95,6997,2018-12-23,Второй класс,Урал,Binders,15211.28
96,6998,2018-12-23,Второй класс,Урал,Paper,2456.639
97,8392,2018-12-23,Стандарт,Владивосток,Furnishings,25674.63
98,145,2018-12-22,Стандарт,Урал,Appliances,41783.61
99,1893,2018-12-22,Второй класс,Москва,Envelopes,32540.19
100,2056,2018-12-22,Первый класс,Урал,Accessories,27078.9
101,2057,2018-12-22,Первый класс,Урал,Chairs,30582.98
102,2058,2018-12-22,Первый класс,Урал,Accessories,28346.73
103,2059,2018-12-22,Первый класс,Урал,Tables,38838.82
104,2619,2018-12-22,Стандарт,Калиниград,Art,31556.14
105,2620,2018-12-22,Стандарт,Калиниград,Phones,36762.81
106,2621,2018-12-22,Стандарт,Калиниград,Storage,15707.81
107,2622,2018-12-22,Стандарт,Калиниград,Labels,33803.06
108,2728,2018-12-22,Первый класс,Владивосток,Binders,30865.34
109,2729,2018-12-22,Первый класс,Владивосток,Phones,20226.78
110,3102,2018-12-22,Второй класс,Владивосток,Supplies,37755.75
111,3103,2018-12-22,Второй класс,Владивосток,Bookcases,4003.852
112,6193,2018-12-22,Стандарт,Урал,Paper,17773.55
113,6194,2018-12-22,Стандарт,Урал,Binders,12664.81
114,6195,2018-12-22,Стандарт,Урал,Paper,22264.12
115,7151,2018-12-22,Стандарт,Москва,Chairs,21509.43
116,7152,2018-12-22,Второй класс,Калиниград,Tables,43496.52
117,8178,2018-12-22,Первый класс,Калиниград,Accessories,32604.17
118,8578,2018-12-22,Стандарт,Урал,Tables,35202.11
119,8579,2018-12-22,Стандарт,Урал,Storage,26842.53
120,8950,2018-12-22,Стандарт,Москва,Tables,37078.69
121,8951,2018-12-22,Стандарт,Москва,Accessories,7371.862
122,8952,2018-12-22,Стандарт,Москва,Storage,15916.93
123,8953,2018-12-22,Стандарт,Москва,Art,12811.09
124,8954,2018-12-22,Стандарт,Москва,Appliances,31964.39
125,514,2018-12-21,Стандарт,Калиниград,Art,41732.77
126,515,2018-12-21,Стандарт,Калиниград,Art,38287.77
127,1614,2018-12-21,Стандарт,Калиниград,Storage,43613.54
128,1967,2018-12-21,Стандарт,Владивосток,Phones,12751.21
129,1968,2018-12-21,Стандарт,Владивосток,Supplies,12103.28
130,1969,2018-12-21,Стандарт,Владивосток,Paper,17456.17
131,2566,2018-12-21,Первый класс,Москва,Accessories,23460.96
132,2719,2018-12-21,Стандарт,Калиниград,Storage,15739.97
133,3171,2018-12-21,Второй класс,Москва,Binders,30389.26
134,4104,2018-12-21,Same Day,Урал,Furnishings,24710.46
135,4944,2018-12-21,Стандарт,Урал,Storage,10810.92
136,2269,2018-12-20,Стандарт,Владивосток,Paper,32467.29
137,2270,2018-12-20,Стандарт,Владивосток,Binders,3435.389
138,6509,2018-12-20,Стандарт,Владивосток,Paper,30326.24
139,6510,2018-12-20,Стандарт,Владивосток,Binders,33592.62
140,6511,2018-12-20,Стандарт,Владивосток,Paper,43902.54
141,1442,2018-12-19,Второй класс,Калиниград,Binders,14853.28
142,3589,2018-12-19,Первый класс,Москва,Supplies,10001.36
143,5472,2018-12-19,Стандарт,Калиниград,Furnishings,26496.07
144,5473,2018-12-19,Стандарт,Калиниград,Storage,37884.69
145,5474,2018-12-19,Стандарт,Калиниград,Bookcases,39399.48
146,1114,2018-12-18,Второй класс,Калиниград,Binders,4832.685
147,1115,2018-12-18,Второй класс,Калиниград,Bookcases,27828.41
148,1116,2018-12-18,Второй класс,Калиниград,Accessories,43571.93
149,1249,2018-12-18,Стандарт,Владивосток,Art,11499.23
150,1250,2018-12-18,Стандарт,Владивосток,Chairs,9892.177
151,1251,2018-12-18,Стандарт,Владивосток,Appliances,31689.6
152,1252,2018-12-18,Стандарт,Владивосток,Art,14953.17
153,1910,2018-12-18,Стандарт,Владивосток,Furnishings,23299.81
154,2887,2018-12-18,Первый класс,Калиниград,Art,30841.39
155,2888,2018-12-18,Первый класс,Калиниград,Paper,29359.36
156,2889,2018-12-18,Первый класс,Калиниград,Paper,18303.52
157,3200,2018-12-18,Стандарт,Владивосток,Art,25041.69
158,7738,2018-12-18,Первый класс,Москва,Art,5011.588
159,8479,2018-12-18,Стандарт,Калиниград,Art,13926.04
160,8845,2018-12-18,Стандарт,Владивосток,Binders,26258.98
161,8846,2018-12-18,Стандарт,Владивосток,Fasteners,33007.39
162,8847,2018-12-18,Стандарт,Владивосток,Paper,36711.28
163,8848,2018-12-18,Стандарт,Владивосток,Appliances,14280.76
164,8932,2018-12-18,Стандарт,Урал,Furnishings,35151.2
165,8933,2018-12-18,Стандарт,Урал,Accessories,3691.657
166,204,2018-12-17,Второй класс,Урал,Appliances,26619.06
167,629,2018-12-17,Стандарт,Калиниград,Binders,18021.6
168,630,2018-12-17,Стандарт,Калиниград,Paper,14407.04
169,1025,2018-12-17,Первый класс,Калиниград,Binders,17792.35
170,2852,2018-12-17,Стандарт,Урал,Paper,9890.123
171,3029,2018-12-17,Стандарт,Москва,Chairs,34693.53
172,4342,2018-12-17,Стандарт,Москва,Storage,23384.18
173,4901,2018-12-17,Стандарт,Калиниград,Storage,14821.37
174,4902,2018-12-17,Стандарт,Калиниград,Supplies,33867.01
175,7040,2018-12-17,Стандарт,Владивосток,Storage,7860.068
176,7041,2018-12-17,Стандарт,Владивосток,Binders,13462.68
177,7042,2018-12-17,Стандарт,Владивосток,Furnishings,10868.4
178,9378,2018-12-17,Стандарт,Урал,Storage,8628.744
179,2963,2018-12-16,Второй класс,Калиниград,Chairs,3988.317
180,2964,2018-12-16,Второй класс,Калиниград,Chairs,11553.99
181,2965,2018-12-16,Второй класс,Калиниград,Binders,20990.35
182,2966,2018-12-16,Второй класс,Калиниград,Furnishings,13293.45
183,2974,2018-12-16,Стандарт,Урал,Binders,36734.86
184,3004,2018-12-16,Стандарт,Владивосток,Binders,1130.291
185,6552,2018-12-16,Второй класс,Калиниград,Paper,6726.46
186,6553,2018-12-16,Второй класс,Калиниград,Storage,10780.58
187,9045,2018-12-16,Второй класс,Калиниград,Binders,20438.22
188,9046,2018-12-16,Второй класс,Калиниград,Accessories,34660.39
189,9047,2018-12-16,Второй класс,Калиниград,Accessories,42451.91
190,9048,2018-12-16,Второй класс,Калиниград,Art,7109.174
191,9049,2018-12-16,Второй класс,Калиниград,Labels,18706.37
192,3982,2018-12-15,Стандарт,Калиниград,Furnishings,24609.3
193,4860,2018-12-15,Стандарт,Урал,Art,12735.8
194,9699,2018-12-15,Стандарт,Калиниград,Paper,7133.82
195,9700,2018-12-15,Стандарт,Калиниград,Appliances,22239.37
196,9701,2018-12-15,Стандарт,Калиниград,Phones,9972.965
197,2947,2018-12-14,Стандарт,Калиниград,Furnishings,42694.64
198,2948,2018-12-14,Стандарт,Калиниград,Binders,2085.374
199,2949,2018-12-14,Стандарт,Калиниград,Envelopes,4228.568
200,3332,2018-12-14,Стандарт,Урал,Accessories,9160.322
201,3333,2018-12-14,Стандарт,Урал,Phones,22860.64
202,3334,2018-12-14,Стандарт,Урал,Furnishings,24974.33
203,5276,2018-12-14,Стандарт,Москва,Accessories,15663.45
204,5277,2018-12-14,Стандарт,Москва,Accessories,13498.98
205,6439,2018-12-14,Стандарт,Урал,Tables,2835.357
206,6713,2018-12-14,Same Day,Урал,Furnishings,25958.08
207,6714,2018-12-14,Same Day,Урал,Furnishings,10117.21
208,6715,2018-12-14,Same Day,Урал,Accessories,40374.61
209,6716,2018-12-14,Same Day,Урал,Art,33845.82
210,7698,2018-12-14,Стандарт,Владивосток,Copiers,43875.29
211,7699,2018-12-14,Стандарт,Владивосток,Storage,43796.1
212,7700,2018-12-14,Стандарт,Владивосток,Supplies,38720.96
213,7701,2018-12-14,Стандарт,Владивосток,Fasteners,1886.134
214,7702,2018-12-14,Стандарт,Владивосток,Tables,23484.02
215,6192,2018-12-13,Same Day,Калиниград,Storage,39333.61
216,8779,2018-12-13,Стандарт,Владивосток,Bookcases,10326.13
217,9682,2018-12-13,Стандарт,Калиниград,Labels,40910.88
218,9683,2018-12-13,Стандарт,Калиниград,Paper,19450.35
219,9684,2018-12-13,Стандарт,Калиниград,Furnishings,10261.32
220,9685,2018-12-13,Стандарт,Калиниград,Paper,22011.72
221,390,2018-12-11,Стандарт,Владивосток,Binders,3279.737
222,391,2018-12-11,Стандарт,Владивосток,Accessories,21447.46
223,1516,2018-12-11,Стандарт,Владивосток,Chairs,26546.78
224,4358,2018-12-11,Same Day,Урал,Paper,30070.35
225,4359,2018-12-11,Same Day,Урал,Furnishings,15489.36
226,4360,2018-12-11,Same Day,Урал,Chairs,25839.96
227,6007,2018-12-11,Стандарт,Владивосток,Phones,4351.377
228,6273,2018-12-11,Первый класс,Урал,Accessories,2884.197
229,6748,2018-12-11,Стандарт,Владивосток,Binders,30882.81
230,6749,2018-12-11,Стандарт,Владивосток,Paper,39113.76
231,6750,2018-12-11,Стандарт,Владивосток,Phones,38934.32
232,6990,2018-12-11,Первый класс,Урал,Appliances,43663.12
233,7345,2018-12-11,Стандарт,Москва,Tables,28352.66
234,7346,2018-12-11,Стандарт,Москва,Phones,33416.66
235,7347,2018-12-11,Стандарт,Москва,Art,37083.16
236,7348,2018-12-11,Стандарт,Москва,Chairs,25192.87
237,9210,2018-12-11,Второй класс,Урал,Envelopes,28832.67
238,9211,2018-12-11,Второй класс,Урал,Binders,34783.72
239,9488,2018-12-11,Первый класс,Владивосток,Fasteners,18112.26
240,1058,2018-12-10,Стандарт,Калиниград,Binders,22110.98
241,1059,2018-12-10,Стандарт,Калиниград,Binders,37376.91
242,1318,2018-12-10,Стандарт,Владивосток,Accessories,5906.863
243,1509,2018-12-10,Same Day,Урал,Binders,2366.193
244,1517,2018-12-10,Второй класс,Калиниград,Tables,32657.44
245,1688,2018-12-10,Первый класс,Владивосток,Paper,43893.41
246,1689,2018-12-10,Первый класс,Владивосток,Furnishings,14114.52
247,2336,2018-12-10,Same Day,Владивосток,Envelopes,17924.85
248,2337,2018-12-10,Same Day,Владивосток,Appliances,6319.906
249,2773,2018-12-10,Первый класс,Москва,Furnishings,17304.81
250,3246,2018-12-10,Второй класс,Калиниград,Accessories,8976.509
251,3247,2018-12-10,Второй класс,Калиниград,Storage,31184.23
252,3248,2018-12-10,Второй класс,Калиниград,Art,38880.77
253,3526,2018-12-10,Второй класс,Москва,Accessories,35156.9
254,3527,2018-12-10,Второй класс,Москва,Phones,15474.44
255,3528,2018-12-10,Второй класс,Москва,Binders,16753.73
256,4353,2018-12-10,Второй класс,Калиниград,Phones,41774.29
257,4354,2018-12-10,Второй класс,Калиниград,Paper,23858.97
258,6909,2018-12-10,Стандарт,Москва,Furnishings,16195.38
259,9410,2018-12-10,Первый класс,Владивосток,Binders,14072.83
260,9411,2018-12-10,Первый класс,Владивосток,Furnishings,15953.31
261,76,2018-12-09,Первый класс,Урал,Binders,29842.76
262,77,2018-12-09,Первый класс,Урал,Furnishings,33544.78
263,78,2018-12-09,Первый класс,Урал,Storage,33002.04
264,206,2018-12-09,Стандарт,Калиниград,Phones,20309.63
265,269,2018-12-09,Стандарт,Владивосток,Storage,12638.91
266,270,2018-12-09,Стандарт,Владивосток,Envelopes,11219.06
267,1469,2018-12-09,Стандарт,Урал,Chairs,43238.89
268,1470,2018-12-09,Стандарт,Урал,Binders,41242.1
269,1471,2018-12-09,Стандарт,Урал,Paper,5380.728
270,1691,2018-12-09,Стандарт,Урал,Paper,22190.35
271,1692,2018-12-09,Стандарт,Урал,Binders,20918.0
272,3596,2018-12-09,Стандарт,Владивосток,Art,18822.6
273,3651,2018-12-09,Второй класс,Урал,Accessories,20487.43
274,3652,2018-12-09,Второй класс,Урал,Art,13877.31
275,3653,2018-12-09,Второй класс,Урал,Binders,38904.84
276,3654,2018-12-09,Второй класс,Урал,Paper,31523.71
277,4211,2018-12-09,Стандарт,Урал,Paper,30279.42
278,4291,2018-12-09,Второй класс,Калиниград,Art,2098.234
279,4292,2018-12-09,Второй класс,Калиниград,Tables,32713.24
280,4293,2018-12-09,Второй класс,Калиниград,Appliances,21589.96
281,5351,2018-12-09,Стандарт,Урал,Paper,14310.54
282,6771,2018-12-09,Стандарт,Калиниград,Paper,23358.21
283,6772,2018-12-09,Стандарт,Калиниград,Binders,37424.77
284,7014,2018-12-09,Второй класс,Калиниград,Bookcases,14244.77
285,7515,2018-12-09,Второй класс,Москва,Binders,26247.21
286,7516,2018-12-09,Второй класс,Москва,Appliances,23652.16
287,7517,2018-12-09,Второй класс,Москва,Binders,26418.56
288,7518,2018-12-09,Второй класс,Москва,Accessories,1420.301
289,7519,2018-12-09,Второй класс,Москва,Storage,36208.43
290,7520,2018-12-09,Второй класс,Москва,Labels,23834.7
291,7521,2018-12-09,Второй класс,Москва,Copiers,6181.643
292,8586,2018-12-09,Стандарт,Владивосток,Binders,42811.52
293,9768,2018-12-09,Стандарт,Урал,Binders,42713.27
294,406,2018-12-08,Стандарт,Калиниград,Accessories,1339.309
295,407,2018-12-08,Стандарт,Калиниград,Copiers,4135.524
296,408,2018-12-08,Стандарт,Калиниград,Paper,41092.38
297,409,2018-12-08,Стандарт,Калиниград,Tables,24649.29
298,410,2018-12-08,Стандарт,Калиниград,Paper,23149.37
299,411,2018-12-08,Стандарт,Калиниград,Labels,1070.142
300,412,2018-12-08,Стандарт,Калиниград,Paper,27252.23
301,413,2018-12-08,Стандарт,Калиниград,Bookcases,6747.513
302,414,2018-12-08,Стандарт,Калиниград,Chairs,27056.65
303,1168,2018-12-08,Второй класс,Владивосток,Furnishings,4274.804
304,1169,2018-12-08,Второй класс,Владивосток,Storage,23750.51
305,1170,2018-12-08,Второй класс,Владивосток,Paper,37240.13
306,1171,2018-12-08,Второй класс,Владивосток,Storage,27787.53
307,3431,2018-12-08,Первый класс,Калиниград,Storage,12465.99
308,3432,2018-12-08,Первый класс,Калиниград,Furnishings,7228.755
309,3433,2018-12-08,Первый класс,Калиниград,Paper,40520.09
310,4953,2018-12-08,Второй класс,Калиниград,Appliances,33229.55
311,5408,2018-12-08,Стандарт,Калиниград,Paper,2375.682
312,5409,2018-12-08,Стандарт,Калиниград,Binders,11491.57
313,5410,2018-12-08,Стандарт,Калиниград,Binders,37187.39
314,5411,2018-12-08,Стандарт,Калиниград,Storage,2764.117
315,5728,2018-12-08,Стандарт,Урал,Accessories,35684.97
316,5729,2018-12-08,Стандарт,Урал,Appliances,36389.91
317,5730,2018-12-08,Стандарт,Урал,Labels,28056.56
318,5731,2018-12-08,Стандарт,Урал,Bookcases,3413.687
319,5732,2018-12-08,Стандарт,Урал,Paper,3818.349
320,7821,2018-12-08,Второй класс,Владивосток,Storage,32392.35
321,8109,2018-12-08,Стандарт,Владивосток,Chairs,43420.97
322,8739,2018-12-08,Первый класс,Владивосток,Art,2691.192
323,8740,2018-12-08,Первый класс,Владивосток,Phones,39806.65
324,566,2018-12-07,Первый класс,Калиниград,Phones,4167.609
325,3897,2018-12-07,Стандарт,Урал,Fasteners,1452.863
326,3898,2018-12-07,Стандарт,Урал,Paper,44230.54
327,3900,2018-12-07,Первый класс,Владивосток,Accessories,26841.19
328,4319,2018-12-07,Стандарт,Москва,Furnishings,13597.07
329,4992,2018-12-07,Стандарт,Урал,Binders,32851.27
330,7855,2018-12-07,Стандарт,Москва,Appliances,24040.13
331,7856,2018-12-07,Стандарт,Москва,Accessories,24899.09
332,9769,2018-12-07,Стандарт,Калиниград,Paper,17264.73
333,6906,2018-12-06,Второй класс,Калиниград,Storage,9855.647
334,674,2018-12-05,Первый класс,Урал,Appliances,12935.22
335,675,2018-12-05,Первый класс,Урал,Paper,36307.89
336,676,2018-12-05,Первый класс,Урал,Accessories,27546.51
337,1925,2018-12-05,Второй класс,Калиниград,Paper,19034.49
338,2235,2018-12-05,Стандарт,Владивосток,Accessories,36184.28
339,3179,2018-12-05,Стандарт,Владивосток,Furnishings,23115.84
340,3180,2018-12-05,Стандарт,Владивосток,Furnishings,24565.82
341,3181,2018-12-05,Стандарт,Владивосток,Appliances,22537.63
342,3434,2018-12-05,Стандарт,Калиниград,Binders,26331.53
343,3435,2018-12-05,Стандарт,Калиниград,Binders,22803.04
344,7324,2018-12-05,Первый класс,Владивосток,Furnishings,27163.2
345,7325,2018-12-05,Первый класс,Владивосток,Labels,7224.041
346,9525,2018-12-05,Первый класс,Калиниград,Binders,36813.09
347,9526,2018-12-05,Первый класс,Калиниград,Furnishings,17817.36
348,9527,2018-12-05,Первый класс,Калиниград,Phones,20481.13
349,9528,2018-12-05,Первый класс,Калиниград,Binders,9658.945
350,9529,2018-12-05,Первый класс,Калиниград,Binders,27923.77
351,9608,2018-12-05,Второй класс,Владивосток,Paper,34569.53
352,9609,2018-12-05,Второй класс,Владивосток,Labels,20040.0
353,2691,2018-12-04,Стандарт,Владивосток,Binders,5610.134
354,2977,2018-12-04,Same Day,Владивосток,Chairs,1715.444
355,5518,2018-12-04,Стандарт,Владивосток,Chairs,21460.1
356,5519,2018-12-04,Стандарт,Владивосток,Furnishings,34135.89
357,5520,2018-12-04,Стандарт,Владивосток,Art,34779.94
358,5521,2018-12-04,Стандарт,Владивосток,Paper,41974.63
359,5522,2018-12-04,Стандарт,Владивосток,Accessories,31951.59
360,6123,2018-12-04,Стандарт,Урал,Storage,38563.39
361,6532,2018-12-04,Стандарт,Урал,Art,42414.49
362,6533,2018-12-04,Стандарт,Урал,Accessories,25411.14
363,6534,2018-12-04,Стандарт,Урал,Accessories,20492.82
364,7293,2018-12-04,Стандарт,Москва,Machines,20118.18
365,7392,2018-12-04,Второй класс,Владивосток,Paper,5969.371
366,8391,2018-12-04,Первый класс,Калиниград,Paper,29448.47
367,8519,2018-12-04,Стандарт,Владивосток,Furnishings,41215.65
368,8520,2018-12-04,Стандарт,Владивосток,Chairs,14494.12
369,8521,2018-12-04,Стандарт,Владивосток,Chairs,29716.31
370,9071,2018-12-04,Первый класс,Владивосток,Furnishings,21674.01
371,2463,2018-12-03,Стандарт,Владивосток,Binders,16323.11
372,2464,2018-12-03,Стандарт,Владивосток,Binders,9207.921
373,2465,2018-12-03,Стандарт,Владивосток,Phones,27480.23
374,2466,2018-12-03,Стандарт,Владивосток,Labels,30872.08
375,2675,2018-12-03,Same Day,Калиниград,Paper,6321.508
376,3465,2018-12-03,Второй класс,Москва,Accessories,15596.17
377,4566,2018-12-03,Стандарт,Москва,Appliances,32903.17
378,4567,2018-12-03,Стандарт,Москва,Binders,28520.27
379,4568,2018-12-03,Стандарт,Москва,Paper,38906.56
380,4717,2018-12-03,Второй класс,Калиниград,Tables,24084.77
381,7537,2018-12-03,Стандарт,Урал,Furnishings,22015.47
382,7762,2018-12-03,Первый класс,Урал,Paper,2650.523
383,7881,2018-12-03,Второй класс,Калиниград,Art,41718.35
384,7882,2018-12-03,Второй класс,Калиниград,Accessories,40914.12
385,7883,2018-12-03,Второй класс,Калиниград,Accessories,42579.25
386,7884,2018-12-03,Второй класс,Калиниград,Paper,12643.6
387,7885,2018-12-03,Второй класс,Калиниград,Supplies,29039.22
388,7886,2018-12-03,Второй класс,Калиниград,Furnishings,21674.58
389,7887,2018-12-03,Второй класс,Калиниград,Furnishings,25444.28
390,7888,2018-12-03,Второй класс,Калиниград,Furnishings,44223.75
391,1753,2018-12-02,Первый класс,Калиниград,Storage,33639.63
392,1754,2018-12-02,Первый класс,Калиниград,Paper,33922.59
393,1755,2018-12-02,Первый класс,Калиниград,Paper,20041.65
394,1895,2018-12-02,Первый класс,Москва,Art,25178.58
395,1996,2018-12-02,Второй класс,Урал,Appliances,19156.82
396,1997,2018-12-02,Второй класс,Урал,Furnishings,17346.29
397,2271,2018-12-02,Стандарт,Москва,Art,15271.16
398,2349,2018-12-02,Same Day,Калиниград,Binders,39119.19
399,2350,2018-12-02,Same Day,Калиниград,Binders,37202.68
400,2351,2018-12-02,Same Day,Калиниград,Paper,4313.516
401,2352,2018-12-02,Same Day,Калиниград,Appliances,42037.2
402,2353,2018-12-02,Same Day,Калиниград,Art,39632.3
403,2513,2018-12-02,Стандарт,Москва,Binders,8413.526
404,4498,2018-12-02,Стандарт,Владивосток,Binders,30835.77
405,5531,2018-12-02,Стандарт,Урал,Phones,2939.622
406,6270,2018-12-02,Стандарт,Калиниград,Phones,38356.67
407,6271,2018-12-02,Стандарт,Калиниград,Chairs,35679.92
408,6272,2018-12-02,Стандарт,Калиниград,Art,14059.34
409,6292,2018-12-02,Первый класс,Москва,Chairs,23141.79
410,6690,2018-12-02,Стандарт,Урал,Art,35839.94
411,6760,2018-12-02,Стандарт,Москва,Art,14302.21
412,7539,2018-12-02,Стандарт,Калиниград,Storage,23789.54
413,7540,2018-12-02,Стандарт,Калиниград,Binders,22817.05
414,7541,2018-12-02,Стандарт,Калиниград,Bookcases,43708.45
415,7542,2018-12-02,Стандарт,Калиниград,Phones,19868.91
416,7543,2018-12-02,Стандарт,Калиниград,Furnishings,41401.08
417,7544,2018-12-02,Стандарт,Калиниград,Phones,19263.17
418,7545,2018-12-02,Стандарт,Калиниград,Chairs,25505.06
419,8642,2018-12-02,Same Day,Калиниград,Binders,14861.31
420,8970,2018-12-02,Стандарт,Владивосток,Art,1836.079
421,8971,2018-12-02,Стандарт,Владивосток,Phones,35247.97
422,9727,2018-12-02,Первый класс,Владивосток,Appliances,24254.3
423,9728,2018-12-02,Первый класс,Владивосток,Phones,35975.27
424,9729,2018-12-02,Первый класс,Владивосток,Supplies,41089.52
425,207,2018-12-01,Стандарт,Урал,Storage,10649.24
426,208,2018-12-01,Стандарт,Урал,Phones,15817.79
427,209,2018-12-01,Стандарт,Урал,Binders,6239.577
